id,first_name,last_name,nationality,gender,date_of_birth
913,Karolina,Erbanova,CZE,F,1992-10-27
821,Olga,Fatkulina,RUS,F,1990-01-23
135,Jennifer,Plate,GER,F,1986-08-17
668,Hyun-Yung,Kim,KOR,F,1994-10-19
701,Shannon,Rempel,CAN,F,1984-11-26
315,Svetlana,Radkevich,BLR,F,1979-10-09
499,Yuliya,Liteykina-Nemaya,RUS,F,1977-12-30
473,Yekaterina,Aydova,KAZ,F,1991-07-30
636,Erina,Kamiya,JPN,F,1992-05-01
861,Kelly,Gunther,USA,F,1987-08-14
942,Elina,Risku,FIN,F,1992-03-07
424,Hege,Bøkko,NOR,F,1991-09-05
811,Martina,Sáblíková,CZE,F,1987-05-27
152,Artur,Was,POL,M,1986-03-27
37,Fengtong,Yu,CHN,M,1984-12-15
146,Markus,Puolakka,FIN,M,1985-05-06
596,Richard,Maclennan,CAN,M,1991-03-11
259,Mitchell,Whitmore,USA,M,1989-12-18
544,Igor,Bogolubsky,RUS,M,1985-05-27
805,Ki-Ho,Lee,KOR,M,1984-08-17
629,Viktor,Gluschenko,KAZ,M,1983-07-08
16,Seong-Kyu,Kim,KOR,M,1992-01-06
321,Artyom,Kuznetsov,RUS,M,1987-11-14
96,Christoffer,Fagerli Rukke,NOR,M,1988-04-17
65,Mirko Giacomo,Nenzi,ITA,M,1989-11-14
26,Joey,Lindsey,USA,M,1988-07-04
29,Denis,Koval,RUS,M,1991-11-06
560,Denny,Ihle,GER,M,1984-12-16
503,Daniel,Greig,AUS,M,1991-03-13
224,Marius,Paraschivoiu,ROU,M,1990-06-07
713,William,Dutton,CAN,M,1989-11-28
110,Nico,Ihle,GER,M,1985-12-02
714,Miho,Takagi,JPN,F,1994-05-22
118,Yuliya,Skokova,RUS,F,1982-12-01
423,Gabriele,Hirschbichler,GER,F,1983-12-26
372,Bo-Reum,Kim,KOR,F,1993-02-06
917,Natalia,Czerwonka,POL,F,1988-10-20
700,Ayaka,Kikuchi,JPN,F,1987-06-28
913,Karolina,Erbanova,CZE,F,1992-10-27
631,Eriko,Ishino,JPN,F,1985-12-01
183,Alla,Shabanova,RUS,F,1982-10-25
253,Katarzyna,Wozniak,POL,F,1989-10-05
501,Shiho,Ishizawa,JPN,F,1986-10-23
74,Xin,Ma,CHN,F,1986-07-09
106,Anna,Rokita,AUT,F,1986-01-30
988,Mari,Hemmer,NOR,F,1983-10-20
804,Maria,Lamb,USA,F,1986-01-04
896,Kaitlyn,McGregor,SUI,F,1994-03-03
692,Bart,Swings,BEL,M,1991-02-12
385,Alexej,Baumgärtner,GER,M,1988-07-13
209,Jordan,Belchos,CAN,M,1989-06-22
740,Hyeong-Joon,Joo,KOR,M,1991-04-22
336,Ewen,Fernandez,FRA,M,1989-02-17
35,Brian,Hansen,USA,M,1990-09-03
285,Jan,Szymanski,POL,M,1989-03-02
359,Robert,Lehmann,GER,M,1984-01-09
838,Teppei,Mori,JPN,M,1984-07-29
976,Roland,Cieslak,POL,M,1988-01-21
471,Luca,Stefani,ITA,M,1987-02-22
145,Andrey,Burlyayev,RUS,M,1983-05-18
51,Mikhail,Kotsjnev,RUS,M,1988-09-09
329,Vitaly,Mikhailov,BLR,M,1986-08-24
55,Aleksey,Suvorov,RUS,M,1991-09-17
408,Martin,Hänggi,SUI,M,1968-03-17
941,Trevor,Marsicano,USA,M,1989-04-05
416,Ferre,Spruyt,BEL,M,1986-04-09
505,Bailin,Li,CHN,M,1992-10-20
840,Zdenek,Haselberger,CZE,M,1985-05-19
780,Maksim,Baklashkin,KAZ,M,1988-03-09
100,Norimasa,Zaike,JPN,M,1989-05-06
402,Jing,Yu,CHN,F,1985-05-29
547,Sang-Hwa,Lee,KOR,F,1989-02-25
738,Jenny,Wolf,GER,F,1979-01-31
25,Thijsje,Oenema,NED,F,1988-06-06
233,Margot,Boer,NED,F,1985-08-07
897,Hong,Zhang,CHN,F,1988-04-12
782,Maki,Tsuji,JPN,F,1985-04-27
936,Nao,Kodaira,JPN,F,1986-05-26
131,Beixing,Wang,CHN,F,1985-03-10
977,Annette,Gerritsen,NED,F,1985-10-11
576,Peiyu,Jin,CHN,F,1985-04-17
64,Laurine,van Riessen,NED,F,1987-08-10
845,Heather,Bergsma,USA,F,1989-03-20
437,Judith,Dannhauer,GER,F,1982-09-03
489,Christine,Nesbitt,CAN,F,1985-05-17
335,Yukana,Nishina,JPN,F,1989-10-24
333,Monique,Angermüller,GER,F,1984-01-27
796,Anastasia,Bucsis,CAN,F,1989-04-30
826,Yekaterina,Malysheva,RUS,F,1987-01-28
637,Miyako,Sumiyoshi,JPN,F,1987-03-19
357,Svetlana,Kaykan,RUS,F,1978-08-06
925,Anice,Das,NED,F,1985-12-31
555,Brittany,Bowe,USA,F,1988-02-24
126,Bo-Ra,Lee,KOR,F,1986-08-16
912,Lauren,Cholewinski,USA,F,1988-11-15
515,Joji,Kato,JPN,M,1985-02-06
178,Tae-Bum,Mo,KOR,M,1989-02-15
704,Yuya,Oikawa,JPN,M,1981-01-16
835,Kang-Seok,Lee,KOR,M,1985-02-28
554,Jan,Smeekens,NED,M,1987-02-11
595,Jamie,Gregg,CAN,M,1985-03-18
76,Keiichiro,Nagashima,JPN,M,1982-04-20
728,Yuji,Kamijo,JPN,M,1986-04-17
405,Gilmore,Junio,CAN,M,1990-08-06
